"","len","cluster"
"1155",154,"1"
"1156",145,"1"
"1157",176,"1"
"1158",129,"1"
"1159",49,"1"
"1160",30,"1"
"1161",195,"2"
"1162",32,"1"
"1163",124,"1"
"1164",65,"1"
"1165",75,"1"
"1166",165,"1"
"1167",119,"1"
"1168",88,"1"
"1169",71,"1"
"1170",47,"1"
"1171",160,"1"
"1172",31,"1"
"1173",127,"1"
"1174",69,"1"
"1175",25,"1"
"1176",122,"1"
"1177",44,"1"
"1178",65,"1"
"1179",64,"1"
"1180",136,"1"
"1181",196,"2"
"1182",126,"1"
"1183",73,"1"
"1184",29,"1"
"1185",125,"1"
"1186",28,"1"
"1187",162,"1"
"1188",89,"1"
"1189",423,"2"
"1190",288,"2"
"1191",119,"1"
"1192",136,"1"
"1193",298,"2"
"1194",116,"1"
"1195",136,"1"
"1196",157,"1"
"1197",296,"2"
"1198",150,"1"
"1199",44,"1"
"1200",101,"1"
"1201",147,"1"
"1202",165,"1"
"1203",118,"1"
"1204",127,"1"
"1205",37,"1"
"1206",73,"1"
"1207",144,"1"
"1208",173,"1"
"1209",49,"1"
"1210",160,"1"
"1211",43,"1"
"1212",122,"1"
"1213",37,"1"
"1214",137,"1"
"1215",120,"1"
"1216",134,"1"
"1217",137,"1"
"1218",49,"1"
"1219",41,"1"
"1220",125,"1"
"1221",37,"1"
"1222",128,"1"
"1223",42,"1"
"1224",152,"1"
"1225",144,"1"
"1226",138,"1"
"1227",39,"1"
"1228",78,"1"
"1229",129,"1"
"1230",139,"1"
"1231",144,"1"
"1232",134,"1"
"1233",123,"1"
"1234",128,"1"
"1235",178,"1"
"1236",78,"1"
"1237",128,"1"
"1238",123,"1"
"1239",114,"1"
"1240",38,"1"
"1241",201,"2"
"1242",137,"1"
"1243",134,"1"
"1244",162,"1"
"1245",120,"1"
"1246",131,"1"
"1247",50,"1"
"1248",177,"1"
"1249",156,"1"
"1250",109,"1"
"1251",33,"1"
"1252",123,"1"
"1253",80,"1"
"1254",123,"1"
"1255",55,"1"
"1256",45,"1"
"1257",46,"1"
"1258",49,"1"
"1259",39,"1"
"1260",41,"1"
"1261",62,"1"
"1262",152,"1"
"1263",124,"1"
"1264",56,"1"
"1265",65,"1"
"1266",105,"1"
"1267",128,"1"
"1268",135,"1"
"1269",46,"1"
"1270",130,"1"
